"","stn_id","well_code","swn","well_name","latitude","longitude","wlm_method","wlm_acc","basin_code","basin_name","county_name","well_depth","well_use","well_type","wcr_log_no","wcr_file_no","well_loc_source","comments"
"1",NA,"412455N1224899W001",NA,"SCV04",41.4093,-122.817,"GPS","20 ft.","1-005","Scott River Valley","Siskiyou",NA,"Residential","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"2",NA,"412990N1225279W001",NA,"SCV 02",41.4984,-122.88,"GPS","20 ft.","1-005","Scott River Valley","Siskiyou",NA,"Residential","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"3",NA,"413348N1225123W001",NA,"SCV 01",41.558,-122.854,"GPS","20 ft.","1-005","Scott River Valley","Siskiyou",NA,"Other","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"4",NA,"414555N1228745W001","42N09W27N002M","42N09W27N002M",41.4555,-122.874,"USGS quad","10 ft.","1-005","Scott River Valley","Siskiyou",80,"Residential","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"5",NA,"414569N1228715W001","42N09W27N001M",NA,41.4569,-122.871,"Unknown","Unknown","1-005","Scott River Valley","Siskiyou",19,"Unknown","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"6",NA,"414686N1222830W001",NA,"SV04",41.7809,-122.472,"GPS","20 ft.","1-004","Shasta Valley","Siskiyou",NA,"Other","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"7",NA,"414719N1224394W001","42N05W20J001M","42N05W20J001M",41.4719,-122.439,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",40,"Residential","Single Well","D-LOG",NA,"DWR_Periodic_GWL",NA
"8",NA,"414796N1223568W001","42N04W18P001M","18P001",41.4796,-122.357,"Unknown","Unknown","1-004","Shasta Valley","Siskiyou",340,"Residential","Single Well","101729",NA,"DWR_Periodic_GWL",NA
"9",NA,"414987N1225202W001","42N06W10J001M","42N06W10J001M",41.4987,-122.52,"USGS quad","10 ft.","1-004","Shasta Valley","Siskiyou",110,"Residential","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"10",NA,"415017N1224564W001","42N05W08E001M","42N05W08E001M",41.5017,-122.456,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",NA,"Residential","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"11",NA,"415262N1228403W001","42N09W02A002M",NA,41.5262,-122.84,"Unknown","Unknown","1-005","Scott River Valley","Siskiyou",22,"Residential","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"12",NA,"415324N1223676W001","43N05W36G001M","36G001M",41.5324,-122.368,"Unknown","Unknown","1-004","Shasta Valley","Siskiyou",322,"Residential","Single Well","42753",NA,"DWR_Periodic_GWL",NA
"13",NA,"415351N1225474W001","43N06W33C001M","43N06W33C001M",41.5351,-122.547,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",317,"Irrigation","Single Well","2081",NA,"DWR_Periodic_GWL",NA
"14",NA,"415444N1225387W001",NA,"SV03",41.5444,-122.539,"GPS","20 ft.","1-004","Shasta Valley","Siskiyou",300,"Irrigation","Single Well","713302",NA,"DWR_Periodic_GWL",NA
"15",NA,"415601N1224718W001","43N05W19F002M","43N05W19F002M",41.5601,-122.472,"USGS quad","5 ft.","1-004","Shasta Valley","Siskiyou",150,"Irrigation","Single Well","563238",NA,"DWR_Periodic_GWL",NA
"16",NA,"415635N1228315W001","43N09W24F001M","43N09W24F001M",41.5635,-122.832,"Unknown","Unknown","1-005","Scott River Valley","Siskiyou",205,"Irrigation","Single Well","278",NA,"DWR_Periodic_GWL",NA
"17",NA,"415637N1225176W001","43N06W22A001M","43N06W22A001M",41.5637,-122.518,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",100,"Irrigation","Single Well","205",NA,"DWR_Periodic_GWL",NA
"18",NA,"415644N1228541W001","43N09W23F001M","43N09W23F001M",41.5644,-122.854,"USGS quad","10 ft.","1-005","Scott River Valley","Siskiyou",23,"Unknown","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"19",NA,"415748N1225300W001","43N06W15F003M","43N06W15F003M",41.5748,-122.53,"Surveyed to a benchmark","0.1 ft.","1-004","Shasta Valley","Siskiyou",100,"Irrigation","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"20",NA,"415753N1224660W001","43N05W18G001M","43N05W18G001M",41.5753,-122.466,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",329,"Irrigation","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"21",NA,"415833N1224394W001","43N05W08R001M",NA,41.5833,-122.439,"Unknown","Unknown","1-004","Shasta Valley","Siskiyou",NA,"Residential","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"22",NA,"415867N1224630W001","43N05W07K001M","43N05W07K001M",41.5867,-122.463,"USGS quad","5 ft.","1-004","Shasta Valley","Siskiyou",73,"Unknown","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"23",NA,"415891N1223553W001","43N04W07M001M","07M001",41.5891,-122.355,"Unknown","Unknown","1-004","Shasta Valley","Siskiyou",NA,"Residential","Single Well","54058",NA,"DWR_Periodic_GWL",NA
"24",NA,"415952N1223848W001","43N05W11A001M","43N05W11A001M",41.5952,-122.385,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",NA,"Irrigation","Single Well","5586",NA,"DWR_Periodic_GWL",NA
"25",NA,"416033N1228528W001","43N09W02P002M","SCV03",41.6033,-122.853,"USGS quad","5 ft.","1-005","Scott River Valley","Siskiyou",NA,"Residential","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"26",NA,"416083N1223932W001","43N05W02C002M","SV03A",41.6083,-122.393,"Unknown","Unknown","1-004","Shasta Valley","Siskiyou",102,"Irrigation","Single Well","127502",NA,"DWR_Periodic_GWL",NA
"27",NA,"416191N1223997W001","44N05W34H001M","44N05W34H001M",41.6191,-122.4,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",96,"Irrigation","Single Well","USGS",NA,"DWR_Periodic_GWL",NA
"28",NA,"416237N1224524W001","44N05W32C002M","44N05W32C002M",41.6237,-122.452,"USGS quad","10 ft.","1-004","Shasta Valley","Siskiyou",79,"Irrigation","Single Well","53277",NA,"DWR_Periodic_GWL",NA
"29",NA,"416288N1228303W001","44N09W25R001M","44N09W25R001M",41.6288,-122.83,"USGS quad","10 ft.","1-005","Scott River Valley","Siskiyou",NA,"Residential","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"30",NA,"416295N1228926W001","44N09W28P001M","28P001M",41.6295,-122.893,"Unknown","Unknown","1-005","Scott River Valley","Siskiyou",65,"Unknown","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"31",NA,"416335N1228997W001","44N09W29J001M","44N09W29J001M",41.6335,-122.9,"USGS quad","10 ft.","1-005","Scott River Valley","Siskiyou",NA,"Residential","Single Well","49066",NA,"DWR_Periodic_GWL",NA
"32",NA,"416397N1225224W001","44N06W27B001M","44N06W27B001M",41.6397,-122.522,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",110,"Residential","Single Well","129187",NA,"DWR_Periodic_GWL",NA
"33",NA,"416462N1224190W001","44N05W21H001M","44N05W21H001M",41.6462,-122.419,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",335,"Stockwatering","Single Well","YES",NA,"DWR_Periodic_GWL",NA
"34",NA,"416563N1225813W001","44N06W18Q001M","44N06W18Q001M",41.6563,-122.581,"USGS quad","5 ft.","1-004","Shasta Valley","Siskiyou",165,"Irrigation","Single Well","125419",NA,"DWR_Periodic_GWL",NA
"35",NA,"416595N1223971W001","44N05W14M002M","44N05W14M002M",41.6595,-122.397,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",95,"Residential","Single Well","133440",NA,"DWR_Periodic_GWL",NA
"36",NA,"416774N1225301W001","44N06W10F001M","44N06W10F001M",41.6774,-122.53,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",113,"Residential","Single Well",NA,NA,"DWR_Periodic_GWL",NA
"37",NA,"417096N1225453W001",NA,"SV02",41.7096,-122.545,"GPS","20 ft.","1-004","Shasta Valley","Siskiyou",178,"Residential","Single Well","1096115",NA,"DWR_Periodic_GWL",NA
"38",NA,"417220N1225928W001","45N06W30E001M","45N06W30E001M",41.7219,-122.593,"Digital Elevation Model","Unknown","1-004","Shasta Valley","Siskiyou",105,"Residential","Single Well","49811",NA,"DWR_Periodic_GWL",NA
"39",NA,"417236N1224461W001","45N05W29B001M",NA,41.7236,-122.446,"Unknown","Unknown","1-004","Shasta Valley","Siskiyou",25,"Residential","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"40",NA,"417242N1224453W001","45N05W29B003M",NA,41.7242,-122.445,"Unknown","Unknown","1-004","Shasta Valley","Siskiyou",NA,"Residential","Unknown",NA,NA,"DWR_Periodic_GWL",NA
"41",NA,"417258N1225083W001","45N06W26C002M","45N06W26C002M",41.7258,-122.508,"USGS quad","5 ft.","1-004","Shasta Valley","Siskiyou",70,"Residential","Single Well","65090",NA,"DWR_Periodic_GWL",NA
"42",NA,"417258N1225337W001","45N06W27D002M","27D002M",41.7258,-122.534,"USGS quad","10 ft.","1-004","Shasta Valley","Siskiyou",45,"Residential","Single Well","54934",NA,"DWR_Periodic_GWL",NA
"43",NA,"417262N1225917W001","45N06W30D004M","30D004M",41.7262,-122.592,"Unknown","Unknown","1-004","Shasta Valley","Siskiyou",170,"Irrigation","Single Well","134530",NA,"DWR_Periodic_GWL",NA
"44",NA,"417309N1225933W001","45N07W24R001M",NA,41.7309,-122.593,"Unknown","Unknown","1-004","Shasta Valley","Siskiyou",235,"Industrial","Unknown","YES",NA,"DWR_Periodic_GWL",NA
